	sequences per sample	iteration	IGNIMBRITE.2.NULL.5	IGNIMBRITE.1.NULL.4	LUNA.1.NULL.1	LUNA.2.NULL.2	LUNA.3.NULL.3	007SAT.A5.2.NULL.18	IGNIMBRITE.3.NULL.6	007SAT.A10.NULL.16	007SAT.A5.1.NULL.17	007SAT.C10.NULL.19
alpha_rarefaction_3714_9.txt	3714	9	409.88	387.590909091	510.6875	496.29787234	413.976470588	261.5	308.567164179	258.341463415	217.783783784	259.394736842
alpha_rarefaction_4177_0.txt	4177	0	420.684931507	415.714285714	517.5	508.839622642	410.891304348	250.65	327.524590164	278.357142857	227.25	245.018181818
alpha_rarefaction_4177_1.txt	4177	1	452.545454545	409.971014493	498.514285714	502.236363636	408.53125	271.161290323	338.0	267.097560976	241.111111111	252.06
alpha_rarefaction_4177_2.txt	4177	2	432.225352113	394.613333333	502.507042254	523.628571429	418.0	286.333333333	323.786885246	253.558139535	229.0	255.705882353
alpha_rarefaction_4177_3.txt	4177	3	441.253521127	413.147058824	502.785714286	497.110091743	414.386363636	263.483870968	306.638888889	258.632653061	243.517241379	257.782608696
alpha_rarefaction_4177_4.txt	4177	4	444.739130435	410.52173913	487.0	521.873786408	412.989130435	224.5	346.222222222	262.727272727	226.875	251.734693878
alpha_rarefaction_4177_5.txt	4177	5	465.090909091	402.743243243	504.388888889	522.25	407.563829787	262.162162162	320.258064516	290.153846154	220.717948718	259.590909091
alpha_rarefaction_4177_6.txt	4177	6	415.0	400.430379747	494.138888889	506.155963303	410.891304348	255.0	335.266666667	270.5	238.757575758	264.023809524
alpha_rarefaction_4177_7.txt	4177	7	438.452054795	419.3	478.014285714	505.663551402	420.045454545	240.8	313.2	275.0	226.6	250.47826087
alpha_rarefaction_4177_8.txt	4177	8	458.458333333	385.756097561	492.3	504.622641509	419.709677419	242.8	327.378787879	275.0	235.129032258	257.404255319
alpha_rarefaction_4177_9.txt	4177	9	441.764705882	405.442857143	530.119402985	519.102803738	411.103092784	270.875	316.130434783	286.416666667	232.516129032	256.936170213
alpha_rarefaction_4640_0.txt	4640	0	445.178082192	n/a	n/a	n/a	n/a	253.238095238	319.211267606	269.727272727	220.405405405	256.75
alpha_rarefaction_4640_1.txt	4640	1	445.178082192	n/a	n/a	n/a	n/a	256.088235294	319.211267606	265.75	235.935483871	254.765957447
alpha_rarefaction_4640_2.txt	4640	2	443.878378378	n/a	n/a	n/a	n/a	270.0	319.211267606	270.11627907	230.333333333	261.886363636
alpha_rarefaction_4640_3.txt	4640	3	442.561643836	n/a	n/a	n/a	n/a	268.090909091	320.9	265.477272727	224.5	255.47826087
alpha_rarefaction_4640_4.txt	4640	4	445.178082192	n/a	n/a	n/a	n/a	269.029411765	319.211267606	275.87804878	238.84375	250.204081633
alpha_rarefaction_4640_5.txt	4640	5	445.178082192	n/a	n/a	n/a	n/a	252.692307692	319.211267606	285.025641026	236.28125	257.47826087
alpha_rarefaction_4640_6.txt	4640	6	445.178082192	n/a	n/a	n/a	n/a	272.46875	319.211267606	279.5	229.34375	265.227272727
alpha_rarefaction_4640_7.txt	4640	7	442.561643836	n/a	n/a	n/a	n/a	258.416666667	318.638888889	261.666666667	220.153846154	246.5
alpha_rarefaction_4640_8.txt	4640	8	445.178082192	n/a	n/a	n/a	n/a	243.170731707	320.9	258.3	233.588235294	260.733333333
alpha_rarefaction_4640_9.txt	4640	9	445.178082192	n/a	n/a	n/a	n/a	269.029411765	318.638888889	293.0	227.363636364	251.8125
