OTU	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	taxonomy
New.CleanUp.ReferenceOTU70	4.36505374898873	-2.55748158718472	0.801648680017956	-3.19027730093366	0.0014213633941301	0.0045038382247737	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halobacteriaceae; NA
4482713	13.3249009179656	3.08580669262503	0.971920588241367	3.17495763538522	0.00149858378510163	0.00469199447002057	k__Bacteria; p__Chloroflexi; c__Thermomicrobia; o__JG30-KF-CM45; f__; g__; s__
New.CleanUp.ReferenceOTU22	12.2910723984683	3.03007321752787	0.963662702681009	3.14432965922401	0.0016646779468062	0.00509081744197711	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__Segetibacter; s__
New.CleanUp.ReferenceOTU1507	5.39888226848606	-2.74752505048498	0.873241096557201	-3.14635335111602	0.00165320143650039	0.00509081744197711	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halorubrum; s__
4325519	12.5208120694677	3.02616960808366	0.970544094014232	3.11801352122729	0.00182074450271265	0.00550408970360262	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Geodermatophilaceae; g__Modestobacter; s__
New.CleanUp.ReferenceOTU33	11.9464628919692	2.9955052101536	0.965070915181707	3.1039223781701	0.00190973426900782	0.00569834598467109	Unassigned; NA; NA; NA; NA; NA; NA
New.CleanUp.ReferenceOTU29	15.3925579569603	3.10926979712447	1.00264967426745	3.10105301674401	0.00192833761458451	0.00569834598467109	Unassigned; NA; NA; NA; NA; NA; NA
New.CleanUp.ReferenceOTU87	4.13531407798933	-2.47684243141949	0.80305286968245	-3.08428314613819	0.0020404330051798	0.00596259867069209	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__; s__
New.CleanUp.ReferenceOTU194	6.4327107879834	2.57226368602109	0.839435426242417	3.0642782108153	0.00218195894300849	0.00623755654360034	k__Bacteria; p__Actinobacteria; c__Rubrobacteria; o__Rubrobacterales; f__Rubrobacteraceae; g__Rubrobacter; s__
New.CleanUp.ReferenceOTU470	4.25018391348903	-2.5004378487123	0.81582383880908	-3.06492373692141	0.00217725507626779	0.00623755654360034	k__Archaea; p__Euryarchaeota; c__Halobacteria; o__Halobacteriales; f__Halobacteriaceae; g__Halobacteriaceae; NA
